name,format,link,usefull for
GIT ,web,https://learngitbranching.js.org/,all
perfomance testing,article,https://xwizard-test.blogspot.ru/2015/01/blog-post_30.html,all
ISTQB,web,https://istqb-training.ru/Exam,all
list of books and other,article,http://okiseleva.blogspot.ru/2014/02/blog-post_6.html,all
plagine for Firefox ,video,https://www.youtube.com/watch?v=ZRorJHShXzs&feature=youtu.be,all
questions for interview,article,https://habrahabr.ru/post/257529/,junior
Chrome,article,http://software-testing.ru/library/testing/general-testing/2242-useful-google-chrome-extensions-testing-software,all
chech list testing of web app,article,http://software-testing.ru/library/testing/testing-for-beginners/2478-complete-web-application-testing-checklist,junior
practise SoapUI/Rest API,practise,http://okiseleva.blogspot.ru/2017/04/users-soap-rest.html,all
Agile,video,https://vimeo.com/123181716,all
Charles,article,https://habrahabr.ru/company/redmadrobot/blog/269109/,all
article from laboratory of quality,article,http://quality-lab.ru/blog/,all
ISTQB2,article,http://www.rstqb.org/ru/istqb-downloads.html,all
video QA web-app,article/video,https://habrahabr.ru/company/mailru/blog/260105/,junior
ISTQB3,article,http://julik.space/2016/08/31/istqb-certification-my-experience/,all
ISTQB experiance,article,https://dou.ua/lenta/articles/ISTQB-reflections/,all
mobile app,article,https://habrahabr.ru/company/microsoft/blog/333606/,all
cheet lists (Eng),video,https://www.guru99.com/software-testing.html,all
tutorial (Eng),video,http://www.softwaretestinghelp.com/,all
tutorial (Eng),video,istqbexamcertification.com,all
tutorial (Eng),video,https://www.tutorialspoint.com/software_testing_dictionary/,all
conf QA,video,https://devtube.ru/hubs/14,all
QA Interview,article,https://xwizard-test.blogspot.ru/2017/02/qa-interview-qa-automation-python-linux.html,all
Git,article,http://rogerdudler.github.io/git-guide/index.ru.html,automate
Selenium for Python,article,https://habrahabr.ru/post/248559/,automate
test plan,test-plan,https://ru.scribd.com/document/39391857/TestPlanTemplateV1-0,all
computer network,article,https://habr.com/post/307252/,all
network,article,https://habr.com/post/134892/,all
UI controls,list,https://habr.com/ru/post/223929/,all
devtools,web,https://developers.google.com/web/tools/chrome-devtools,all
Тестирование удобства использования и доступности,article,https://www.cjcid.com/articles/unexpected-a11y-tips/,all
